duplicate_group_id,group_key,linked_business_candidate,evidence_drive_file_ids,artifact_types,phones,emails,websites,final_filenames
menu-evidence-group-0015,email:bigkahunashaveicefl@gmail.com,Big Kahuna Shave Ice FI,1UKsViudd1wjBIHFDwhUQ4LG_H_UiLjTE|14uckQVGsupVJRlNKLvN_Zhlxu573bACI,profile,954-816-3777,Bigkahunashaveicefl@gmail.com,bigkahunashaveice.com,Big Kahuna Shave Ice FI.PNG
menu-evidence-group-0016,name:title oo,Title oO +,1Iwo2sgbuiML03fZU1J-uP8m7uaPapR6t|1-W39no0GJPdrOVkMx2QOuAz_FVr-q8HC,unknown,,,,Title oO +.jpg
menu-evidence-group-0017,email:comerfuego@gmail.com,COMER FUEGO (Comer Fuego),1BoJ5YgDBp4kaKY_-EIaLzCUNU5WkKx2z|1xLR4fbWfis4z-venk5dUUJBJtDWylEJb,profile,347-506-6520,Comerfuego@gmail.com,,a & gs & @.PNG
menu-evidence-group-0018,email:hulahawaiianbarbecue@yahoo.com,Hula Hawaiian Barbecue,1ihgkjwIMDOTi9YWvL-X-USeM5qPNH2gW|1Qy86mjjvy1Fpawso5bZZkUPgbyPheq5N,menu,850-542-7599,hulahawaiianbarbecue@yahoo.com,instagram.com/hulahawaiianbarbecue,Hula Hawaiian Barbecue.PNG
menu-evidence-group-0019,name:rent us,Rent (US),1LvSG-Vn9D137OrlevhCgQR3h1KYP01jm|11AshvzoQAAIar4DdtzUyYIQGqesMW8fB|1x-WL3Rl60hFNP_pxsCd9HX83_rjpoKDo,menu,,,,"Food Truck , Trailer For Sale And.PNG"
menu-evidence-group-0020,phone:850-465-6171,Cafe,1dArcdJ7Q4yDt_F1_RxnNa7fXYhHn38um|1WJ7MtuNneISIlyKu-zYf4CP4CGl80gwH,menu|profile,850-465-6171,,,Cafe.JPG|mee Cactus Flower Food Truck.PNG
menu-evidence-group-0021,email:telestrummer2014@gmail.com,Carolina Gold BBQ,1I9z3IMMuEIONiNjjZHHYj5n9dRwCZugt|1OhhA_amEeVy96MyxMw7trbaCJMjgvNn4,menu,850-503-4122,telestrummer2014@gmail.com,,Carolina Gold BB.PNG
menu-evidence-group-0022,email:fantasia@fantasiskitchen.com,Fantasias Kitchen,1zLLQp5xmIBn6_vxehg89Wz775ll5-qJI|1xz-H31Sj_L4rb7QYNXnDKE_weV8E-KsU,possible_menu,813-802-1903,fantasia@fantasiskitchen.com,instagram.com/,Fantasias Kitchen.PNG
menu-evidence-group-0023,email:nobsnow1@gmail.com,NOB's - No Ordinary Burritos,1boviaGVNfc4CD_Ig_Z5OEmD_2KiMJecP|16T3kH6rqLrCdoPJvNIki1exDEhQb9Wk1,menu,321-225-2231,nobsnow1@gmail.com,,NOB's - No Ordinary Burritos.PNG
menu-evidence-group-0024,email:cajungrisgris@yahoo.com,Cajun Gris Gris,1mNYAaywwcdvctQq18tVsiHw8Sxsr0ka_|1Hoi6RAEqHetbLuyi4-G89pdMPXtjt1xZ,profile,228-219-0635,Cajungrisgris@yahoo.com,,Cajun Gris Gris.PNG
menu-evidence-group-0025,email:kevin@pensacolaglass.com,Pensacola Glass Company,1pfSBrJ1siMCuo71dClEM2tEYaopKzDxM|12ehbhDYyfIHvE-eIFfN67S-Akfk5qZsb,profile,850-433-8348,Kevin@pensacolaglass.com|kevin@pensacolaglass.com,pensacolaglass.com,Pensacola Glass Company.PNG
menu-evidence-group-0026,email:georgiagatorllc@gmail.com,Back Porch Burgers - Food Truck,1gNb0qcWJbJ2UdmYfm1K8OoKTZnMIpjEx|1bOcxwlm51SxZ8oSJtq5VcATtWnu0vWl2,possible_menu,816-308-6685,georgiagatorllc@gmail.com,,Back Porch Burgers - Food Truck.PNG
menu-evidence-group-0027,email:jesse@cutiepatootiecharcuterie.com,Cutie Patootie Charcuterie... + Q0,1Nj3ghrQOtVB_vYu6R4qzymFPAGQ8UBcq|13iC0hlcuIYdoiSqfRcgaQSDOzuo7vqt1|1gWKfiLh16UfIpsos4uDK0S0bK0YwBch-,menu|profile,850-980-7061,jesse@cutiepatootiecharcuterie.com|Jesse@cutiepatootiecharcuterie.com,cutiepatootiecharcuterie.com|online.skytab.com/s/,Cutie Patootie Charcuterie... + Q0.PNG|Follow @ Message.PNG
menu-evidence-group-0028,email:bbcoffee2024@gmail.com,Bluebird Coffee Pensacola,1Zn08n6vLZqndlPzQDPVEYdmC1H34DURD|1NzqkIWIWggrp7KsvSPN1LhgQ2hxrsEj1,menu,,bbcoffee2024@gmail.com,instagram.com/bbcoffeepcola,Bluebird Coffee Pensacola.PNG
menu-evidence-group-0029,phone:850-712-6892,Critter Coffee Co.,1XMWllR6riklx1q3ofccI3hqgMqmMdWZF|1BlXciye-EEww9_wNd9fTCUFll1-bBHSF,menu,850-712-6892,,,Critter Coffee Co..PNG
menu-evidence-group-0030,name:fire dogs,Fire Dogs,1v9ea35iTugIUhSKkAO75LaoYyhGKxLBc|10kwAvfSlbOvxYm70losWPC56OjHBja7F|1u6P8_sJRTTKsh56op4ix4x3_AFsJD4K7,profile,,,,Fire Dogs.PNG|Follow @ Message.PNG
menu-evidence-group-0031,email:foodtruckinutah@gmail.com,Food Truckin Utah,1Fk-WOmex8eLZqsiX3bPjYRGSIn2GfoKn|12c_hc95EFW7lQVSbn4YiSIJFtr4nqm-z,profile,,Foodtruckinutah@gmail.com,,Food Truckin Utah.PNG
menu-evidence-group-0032,phone:850-816-0691,PENSACOLA Pensacola,1xHyzOWVRustGVRpqKq0cSpzqcfBl_W2k|1aiRNO1KjEmm4e_790l0KJqrc1DFcZXmp,possible_menu|profile,850-816-0691,,,PENSACOLA Pensacola.PNG|oe = wh iwewwies.PNG
menu-evidence-group-0033,phone:850-255-8396,Creations LLC,1OLhdistMCVhMqyxbys4lHYhHXfmuQU97|1VYCZOIzzIb2O5XIowLyvmzdHQpY4iWtq,menu,850-255-8396,,,Creations LLC.jpg|WINGS COME BATTERED CAN REQUEST NAKED.jpeg
menu-evidence-group-0034,phone:850-583-0798,Coffee,1ICfPaWebnBh4C3UcPJrZTy2qPvnkfffK|1435O8GEDLvsj1yJ8G_Y7jtNISHJFTB30,profile|menu,850-583-0798,,bearfruitbowls.com,Coffee.PNG
menu-evidence-group-0035,name:ejelyns kitchen,Ejelyns Kitchen,1XdkJoYXL2eKwZrR6EAkjdNOCFjS94HHj|1xfsyBRfXVt-9jFjNpcDjoTnlRb32kPL6,profile|post,,,,Ejelyns Kitchen.PNG
menu-evidence-group-0036,phone:787-598-0963,Sheets,1XzoPmJk16n28i39xWruhtgGFf5F13MEf|13RSEUjUbxMkKuUgOXtQFdVNLqhz_Csg4,profile,787-598-0963,,,El Chango De Los Hot Dogs.PNG
menu-evidence-group-0037,phone:850-450-0255,ESCAMBIA GUTTER COMPANY,1ty1RvZkCfvn0Q7hk3vSF9Qb9koi3vtVf|1Vj8DAVHTTg-UG__XKH9oUksJpjSLOPuB,unknown|profile,850-450-0255,,angieslist.com/companylist/us/fl/pensacol...,"ESCAMBIA GUTTER COMPANY.JPG|Escambia Seamless Gutters, Inc. vee.PNG"
menu-evidence-group-0038,name:seamless gutters,Seamless Gutters,1_P4wU1GQVjloxKgdPAJwSJWz1GaSTe2G|1Ikb8KcBspsPtL_d3mt6bbR28OE1DwIiP,profile|unknown,,,,Seamless Gutters.PNG|Seamless Gutters.JPG
menu-evidence-group-0039,phone:850-824-7897,f) CARNE ASADA DARLING,1m4Km_6GQYnG3LahFW_u4dAHwqu8DTKns|1nsTHm6m6IXQWBNlS03SxtS7UQF5kDsVm,possible_menu,850-824-7897,,,f) CARNE ASADA DARLING.PNG|a2 & BA @.PNG
menu-evidence-group-0040,phone:850-529-2698,Tacos el Amigo 3,1m1a262IkgIbxCizUrwvBXlMFRqrLrMC5|18EzeWU5m8H_02FCu0CqFLIWqf4EFetWg|1Ob9movuicaV7ERypnNaVSV218sCDM4Nk,menu|profile,850-529-2698,,,Tacos el Amigo 3.PNG|Viva Chile Café.PNG
menu-evidence-group-0041,phone:818-416-3933,FEL DRYWALL,1XBlCWk-KDTaqdbHUGwH1Wdmqvh4f1xyY|1eIt8J9opK6fDIOGgL4VoaUiSyBKP3osi,unknown|profile,818-416-3933,,,FEL DRYWALL.JPG|Felix drywall installation Ilc.PNG
menu-evidence-group-0042,name:garage doors,GARAGE DOORS,1jElKVZsbiCENBhAxfmsh8BPnw2Q_Q2eU|19pKskr5xSr4ysDN0SkRo_auyd9RmtjpM,possible_menu,,,,GARAGE DOORS.PNG
menu-evidence-group-0043,phone:850-485-1468,Indulgence Bakehouse,1L0Ft0XYOOkiedhGGYlJx3prhzXND-o4R|1rZGERQla9D75Z1U-bHUr09MIweOLE7Vj,possible_menu,850-485-1468,,,Indulgence Bakehouse.PNG
menu-evidence-group-0044,email:pitafreshtruck@gmail.com,Pita Fresh,1xP88LtATG5zYZ5wFrqBcQasY-pkoXCJ2|1ESihxqbI-hoRhMG2ZVRGkOkWtmYSNUGb,profile,904-735-3437,pitafreshtruck@gmail.com,,"Made with Love, Sea.PNG"
menu-evidence-group-0045,email:info@folkers.com,Folkers Window andHomel... ++ Qn,1aAXvOrRJkvmKDOxG72N6o5q9lS0pJ4mL|1EiIhgqFz-FqzcJMtaN4NvDJ6gWWyjsU_,profile,850-477-1772,info@folkers.com,folkers.com,UNRESOLVED - 1aAXvOrRJk.PNG|Improvement Company.PNG
menu-evidence-group-0046,email:pensacolafnb@protonmail.com,Food Not Bombs Pensacola,1RkF7sSeZEhLMGWkwl5UePP6H9yvZXxfJ|1T19xFeyh40Rbqk2WDlXiDCDdklFd1QVI,profile,,pensacolafnb@protonmail.com,,Food Not Bombs Pensacola.PNG
menu-evidence-group-0047,phone:904-834-1113,Vendor LOT,1-U_xXhtqCwbVPG6B1HhBmLiKzu9TjPSE|1kzhGTV1t9UxtsyaqgIP2HrKf_beh0aJk,profile,904-834-1113,,,Vendor LOT.PNG
menu-evidence-group-0048,phone:850-436-3780,Sausage,1srTxtusM-6Mr8eDh8QW81ca0MU9tqJSY|1yjLSUPmaEbleKnb7VUaz0kzA6OFFY-b0,menu|possible_menu,850-436-3780,,thompsonssausage.com,Sausage.PNG|Thompson's Smoked Sausa.PNG
menu-evidence-group-0049,website:kookiekraze.com-themed,Kookiekraze.com-Themed Cookies,18oTm7gqjiAmdcvI5OuMXcaXIBomeRsb1|1TIfUZA2mLuC3sEh5HkBqJLZXIIZiHkWK,possible_menu,,,Kookiekraze.com-Themed,@ Follow Message.PNG
menu-evidence-group-0050,email:thefrostymoo@gmail.com,The Frosty Moo LLC,1NL_5xU5PvCTpC2v3LtNnrm_ERQtwqG4k|1q8rm1mvi7AFwVhKhu4-nF7kgdBs1Gy6y|1FZbrYxa4vCUHfUQhjfXRtiIa-57qX-fL,menu|profile,850-860-1133,Thefrostymoo@gmail.com,thefrostymoo.com,The Frosty Moo LLC.PNG|¢ The Frosty Moo LLC.PNG
menu-evidence-group-0051,email:meatinthemiddleft@gmail.com,Meat in the Middle Food Truck,10eDHmw_0Q4ApLC4OaYFkBioFsZ2hs_WO|1B81AqgcOJldXg30sYDk5tlJIhxs0fzuK,menu,561-295-9833,meatinthemiddleft@gmail.com,instagram.com/MeatInTheMiddleFL,Meat in the Middle Food Truck.PNG
menu-evidence-group-0052,email:thesnowyflamingo@gmail.com,The Snowy Flamingo,1s4et0iwWMVXq4eHLzi3k96F_T0t8mJzz|1iIeklZI7yltawDQb7h47IbEcdYzD8A5c,profile,,Thesnowyflamingo@gmail.com,thesnowyflamingo.com,The Snowy Flamingo.PNG
menu-evidence-group-0053,name:kadeco,"Kadeco, Inc",1BGmWR7zPcgWseOK2ylqBlisa3ModItVn|1s87wwTcZUYSyFL5xQrh_7NPQqVlByOqj,profile|unknown,,,,"Kadeco, Inc.PNG|KADECO INC.JPG"
menu-evidence-group-0054,email:kobschies@gmail.com,Kobschie's Ice Rolls,1VVBFf3R9gax57n3jpCHkPks_0kEk2fFp|1SYgoRstSbwfY1QOKY31b6WBJ4NrTeAEK,menu,786-557-0396,kobschies@gmail.com,kobschiesicerolls.com,Kobschie's Ice Rolls.PNG
menu-evidence-group-0055,email:thecitylimitsfp@gmail.com,Something Asian & More,1_rFQDMezfELq6i6RQV0CDsnL86bumUNp|1vmVNStH6GVX22oeV2eC7crC_FdvK3kkA,profile,,Thecitylimitsfp@gmail.com,,Something Asian & More.PNG
menu-evidence-group-0056,email:8508577710d@gmail.com,Yezz Ma'amz Good Eatz,1AeqeALuDykPUfDZ0_hKq4T2yVD6DnJVq|1DnCNElRUjhlCTSkCFbNVVMKXipLoIt9Y|1sqlNGmPW9kkgtS08L6Mrg3WTYFRBZepH,profile,850-281-0755,8508577710d@gmail.com,,Yezz Ma'amz Good Eatz.PNG
menu-evidence-group-0057,phone:850-988-1086,"Hual Electric, Inc",1SiC1iHG_HSswwb9axNPceb_uzkTzsxKb|1Hn6MNxNQemfr_6kWdHbTPz0n0PKE0sh7,profile,850-988-1086,,hualelectric.com,"Hual Electric, Inc.PNG|service Pensacola and surrounding areas since 1995!.PNG"
menu-evidence-group-0058,email:hurricanepizzacones@outlook.com,Hurricane Pizza Cones - Vero Beach,1bIcpxQKxbJNgT3hfX3hzDJ4-jsLwOxpD|1JHWPeFrGwneXFUBcQgfGiuKAAjC6zHmc,menu,984-386-5107,Hurricanepizzacones@outlook.com,instagram.com/hurricanepizzacones,Hurricane Pizza Cones - Vero Beach.PNG
menu-evidence-group-0059,website:southfloridasweets.com,South Florida Sweets,1gkKN5IDbNiSs8bp9nLntq6_NPDAQHGcm|1rY2nXOzaUWXcsVvUj3Q81-b7wtJGTSGf,profile,,,southfloridasweets.com,Confirmed link.PNG
menu-evidence-group-0060,phone:850-760-2512,Joe's Caribbean,13eJIdeY6Oh8OL2qOw_ub58G4mFeHDdBR|1oajw3lmF2Orb0vYA7J_hyRtd80xcNwU2|1d3j-7qfe1dqGZzVe1-T9IWTPCp-yrmlT,profile,850-760-2512,,joescaribe.com,Joe's Caribbean.PNG
menu-evidence-group-0061,email:boujeebowlz@gmail.com,Boujee Bowlz @,1QppaTbDAtdRGmW3hHCbLdzTQqqhTsD1x|10j-QdpRux5XXdX_5DhmBZ029hvrhkY35,profile,251-727-2047,boujeebowlz@gmail.com,,Follow @ Message.PNG
menu-evidence-group-0062,email:viva.chile.cafe@gmail.com,Viva Chile Café,1VUKRlWUts7zLB3el_wHa7mn9tdzkzDNX|1ID48jNUVJBLpHiP1O4jnzJmH1v5_tqxa,profile|possible_menu,850-529-2698,viva.chile.cafe@gmail.com,,Viva Chile Café.PNG|VivaChile Cafe - Rincon Lat... +.PNG
menu-evidence-group-0063,website:pensacolacooks.com/gather,"Gather, A Culinary Collective",1dvTMzgmMY--NnnL3LUlYEiu6MxBfneAc|1zwnnOmwdmE9dD9JRgQm2m3vMhfSnwuA2,menu,,,pensacolacooks.com/gather,"Gather, A Culinary Collective.PNG"
menu-evidence-group-0064,phone:239-204-9184,Latin Grill Rinconcito Catrac... ++ Q0,1Y1Bhyfp6ZGKGqGMazrOTsYbSI_-OA3Ch|1JqwdFuq4vhqVx3LKyInH5KSnCX8jPxMa,profile,239-204-9184,,,Sopita pa la goma.PNG|Catracho.PNG
menu-evidence-group-0065,email:pipasnacks@gmail.com,pipasnacks,1r4709Ue4Eewr6IRdEi-x6o7NpuA5aDeN|16XM-sevGA754NEfFrMFztFJafT7UjBwl|1UJOI3S0BrKPu4KrYKu81QvifjWONwgR4,profile,917-870-9432,pipasnacks@gmail.com,,pipasnacks.PNG|Message.PNG
menu-evidence-group-0066,email:paversandy@gmail.com,Pensacola Pavers,1arsTXQJfrCPuL_qkm6pQrlnR0VnHMETp|1OPb-jxX9INKTAXlKpHtIOIs06VOAKq4E,profile,850-777-0376,paversandy@gmail.com,,Pensacola Pavers.PNG
menu-evidence-group-0067,phone:850-469-9400,Broussard's Bayou Co.,1eNmnvIst6MorWdl8QwAisNGNQXPBpVuy|1ICgxiYIX_IDMi9Usne-TXiGpY6KHhIPn,profile,850-469-9400,,,Broussard's Bayou Co..PNG
menu-evidence-group-0068,email:mario@soupcoopfoods.com,Acme Chicken Bowls,1pH7-1WSZXe9v2OL15InddQ9MNFmunvL5|12TkaBT_0mnsx-bCkoN1l9IYK1VScFbvY,menu,502-208-6555,mario@soupcoopfoods.com,instagram.com/acmechicken,Acme Chicken Bowls.PNG
menu-evidence-group-0069,phone:850-760-6655,Lupita's Mexican Fast Food,1WLe1emsz3aPWCC_EcCwCBX4gHajdL9MC|1kkyrWRgi_ucjmOkBb3GQ5-wvB2EKYDde,profile|possible_menu,850-760-6655,,,"Lupita's Mexican Fast Food.PNG|Followed by Tammy Kocon Doverspike,.PNG"
menu-evidence-group-0070,phone:850-530-5322,MaintenanceMen Q (S),1mZXxLgqGr58QgxW_Qs27hmj1FqKJYbxZ|1UXDEA1w7Af4EoobDL8yhlv-LPLQxT4o_,profile,850-530-5322,,maintenancemencommercial.com,maintenancemen.commercial@outlook.jpg|MaintenanceMen.jpg
menu-evidence-group-0071,email:squab1313@yahoo.com,Twisted Pretzels Express,1ZZC8lA_QcWjiRBtQws-XR5zUgn69RK2K|10emJNKw5jTwqHCu_d7h1gRONrnDfaLt6,menu,570-880-5387,Squab1313@yahoo.com,,Twisted Pretzels Express.PNG
menu-evidence-group-0072,email:chazenpensacola@yahoo.com,Chazen Pensacola,1Y_BaLwN3Z-WQovnC7q4V7MHAIwllJaOm|1R0iZnBlUB6hzqRA_T4_KYJdDawbQYgvL,profile,,chazenpensacola@yahoo.com,,Chazen Pensacola.PNG
menu-evidence-group-0073,email:mcdaddysc@gmail.com,McDaddys Southern Comfort,1ANpXqW8xNSfm0PggQXjPjiyDGCumxEwq|17n42m2_52BaSR1VC9NXiS0ySPZK74Z4h,profile,850-849-1388,Mcdaddysc@gmail.com,,McDaddys Southern Comfort.PNG
menu-evidence-group-0074,email:info@crepys.com,Crepys,14nD77HJs6-GiRzBrXh7_YLYa-GU-sO1H|1L5TxL0gGsIdg-7hoJC4Ra6LgPNrSWZpU,profile,786-574-1512,Info@crepys.com,crepys.com,Meet The Cheese Edge You Won't Forget.PNG
menu-evidence-group-0075,email:goyitaantojitosliic@gmail.com,"Goyita Antojitos, LLC.",1nQ04hKVeJs6yrx8HwGEaoKZw8wkb1V3l|1DIkvR9YPAOrWIWIOWQrJ-wRQKsU6f-XJ,profile,813-377-5168,goyitaantojitoslIIc@gmail.com,,"Goyita Antojitos, LLC..PNG"
menu-evidence-group-0076,phone:253-205-1290,Rosa's Pastry,1Otb3LTk7hOTDdcLV8UkOhqlCW1LMw1IS|1Zo1zjLJfay7hjBQIaUGputll9k8rFPJd,menu,253-205-1290,,,Rosa's Pastry.PNG
menu-evidence-group-0077,email:www.theflaminpepper@yahoo.com,The Flamin’ Pepper,1SmNwaEG_QiG9KpR-f5d8CDfyeT-9xik1|1EzozrmWddXnpKxsALPBzLIDzYFVwioby|1gICiKIR5Ph7LRAFmE-WMfKC4zqYof-Er,profile,228-372-4071,www.theflaminpepper@yahoo.com,www.theflaminpepper@yahoo.com,The Flamin' Pepper.PNG
menu-evidence-group-0078,phone:850-816-0123,Proper Espresso,1Hd4JIkz6yncjsqEGekH3i_zvamE7SspO|1xnVP9UdnkINMUdzZmkMs6i7H7Co5uc3N,menu,850-816-0123,,,Proper Espresso.PNG
menu-evidence-group-0079,email:freshlypreppedmeals@gmail.com,Freshly Prepped,1cDxDRrfqj60zSksemo0G_1NFnT04NVAG|1rQdAOdJ11Xj8MRCOaLZoVqSNEffMO6RN,possible_menu,239-209-9111,FreshlyPreppedMeals@Gmail.com,Www.FreshlyPreppedMeals.com,Freshly Prepped.PNG
menu-evidence-group-0080,email:mrpepitotampa2020@gmail.com,Mr Pepito Tampa Bay,1Jd_zTXvKXfsbgk8mZoX1aHfUW0kO6txn|1cEeZ0virf6d5oUJPuCx8qpN2fggibS8G,profile,813-419-9381,mrpepitotampa2020@gmail.com,Mrpepitotampabay.com,Mr Pepito Tampa Bay.PNG
menu-evidence-group-0081,name:,Truck,1_rI6YJ4wMZ7dtlVPBMbT0rw1F18pQpJp|10YLqVdXlVhMsFupXPNJXGhqtzMiixUU9,profile,,,,Southern culture..PNG|Inc..PNG
menu-evidence-group-0082,name:lexi raspberry roofing,Lexi Raspberry Roofing,1pINtlCkdodyujJ2U4kJ_uKsWeunTIfot|1BCkWnYMkEt-yay-RBXm6QPtGlPH8W20g|1VaZfHmO7Lb8I-PUM-Az7GjTIwbSbXFHM,profile,,,,Lexi Raspberry Roofing.jpg
menu-evidence-group-0083,email:carverskitchen22@gmail.com,Carver's Kitchen,12ZZHHjNQ8NmZEbKiWtoRYnz4MiHbIpQB|1lFicLk6d1twacaUljSGECHPOzmRBvWJ3|1ptWjfKx3ZRBalIMy7HQwPUh47EW7Ta3N,possible_menu|profile,850-261-2122,carverskitchen22@gmail.com,,Carver's Kitchen.PNG
menu-evidence-group-0084,phone:251-234-4421,Crav'N Da Flava Food Truck,1xHQnlIjrIBF8WaI1ly2fibLl8IkQqKJB|1KSzZYSFBW6TUcnnEj0gq54i-Xu701ntc|1stWm5_OZnoqUzbjGKotjd3vnUCH4vFez,profile,251-234-4421,,,Crav'N Da Flava Food Truck.PNG
menu-evidence-group-0085,email:habibiorganiccoffee@gmail.com,Habibi Coffee,1yiGC4CeMPgvjPtLTYRgSOkX3bpBjt-lC|1Elzt5WiifEpLkipw7iVmZIYKcLzs_ImT,menu,850-529-0279,Habibiorganiccoffee@gmail.com,,Habibi Coffee.PNG
menu-evidence-group-0086,name:pensacola,Pensacola,11BEd3cOgVkqtngKIe4qZLCSy9PmMQCaS|17ZuePVE9Pc07dEy-hkpAw12PzYH1xNGk|1D3pIE5F4OWrFbM8sQ5Q3IJBr80QFdtFG|1UX0W7esfGNAPOqBYlEQb8BYJ1tlZ5Key,profile|unknown|possible_menu,,,,The Brunet-Strickland Company has been providing.PNG|PENSACOLA.JPG|Pensacola.PNG
menu-evidence-group-0087,phone:209-677-7667,Sierrasweetsco,1O3GAnaIXTX97Gztay9MIe-JF7CwAKwYG|1bVLGyM0noBr8RVvDC6RDPYpbWoVsnFv6,profile,209-677-7667,,,Follow @ Message.PNG
menu-evidence-group-0088,email:resurrectionhotsauceco@gmail.com,Resurrection Hot Sauce Co.,10N_S6bUHqOYqh4IjtNY__dQCNtMzceN1|1WtwSkCinlDOSUkF9S5Xp-6RzNUpJqoup,profile,904-708-2493,resurrectionhotsauceco@gmail.com,,Resurrection Hot Sauce Co..PNG
menu-evidence-group-0089,phone:850-368-8306,Mini Pancake Mayhem,1G0EK0VslaSKQz06Esh1avd5rCX97lbl8|15tQfMs452jYa820xbv5P6fY5YG8oj6Qk,menu,850-368-8306,,,Mini Pancake Mayhem.PNG
menu-evidence-group-0090,email:dionienlacalle@gmail.com,Dioni En La Calle,1dKZkNRUeLKbkcl6SFToMCBZ95u4KauHt|1ZdFe0ZsLCJiJUh-BSBW2V81PUtwlbojT,profile,407-840-9736,DioniEnLaCalle@gmail.com,instagram.com/Dionienlacalle,"the streets of Kissimmee, FL..PNG"
menu-evidence-group-0091,email:stickaforkinit1934@gmail.com,Stick a Fork In It,1T7S7PmbP1VgC1zcst-2CR3e1Og-30TzI|1JGmPaYDRis5FRjYB59bp9EACF92iIYVN,profile,229-481-0979,stickaforkinit1934@gmail.com,,Traveling Food Truck.PNG
